"","EAS.cutoff","EAS.coverage","EAS.Methods","EAS.Pop","EUR.cutoff","EUR.coverage","EUR.Methods","EUR.Pop","SAS.cutoff","SAS.coverage","SAS.Methods","SAS.Pop","VNP.cutoff","VNP.coverage","VNP.Methods","VNP.Pop"
"32000.63",32000,83.6514211541973,"LmTag_K200","EAS",32000,85.2450642967692,"LmTag_K200","EUR",32000,81.6616051882212,"LmTag_K200","SAS",32000,87.8084661614842,"LmTag_K200","VNP"
"32000.55",32000,74.1680115686246,"EQ_uniform","EAS",32000,77.0112195998825,"EQ_uniform","EUR",32000,72.1476717199151,"EQ_uniform","SAS",32000,79.612490201202,"EQ_uniform","VNP"
"32000.47",32000,62.9076040016386,"EQ_MAF","EAS",32000,71.0033189672181,"EQ_MAF","EUR",32000,63.3225931229733,"EQ_MAF","SAS",32000,70.9762215834858,"EQ_MAF","VNP"
"32000.71",32000,82.1137910441868,"TagIt","EAS",32000,84.0847410810977,"TagIt","EUR",32000,80.1332855990651,"TagIt","SAS",32000,87.0397177946172,"TagIt","VNP"
"32000.79",32000,71.0680742484589,"FastTagger","EAS",32000,72.0617056071693,"FastTagger","EUR",32000,68.4007374121443,"FastTagger","SAS",32000,69.9600209041024,"FastTagger","VNP"
"28000.62",28000,81.7182171288688,"LmTag_K200","EAS",28000,83.6785293073136,"LmTag_K200","EUR",28000,79.5088308396293,"LmTag_K200","SAS",28000,86.0357982754116,"LmTag_K200","VNP"
"28000.54",28000,72.0800821253893,"EQ_uniform","EAS",28000,74.8146508069431,"EQ_uniform","EUR",28000,69.4963623195562,"EQ_uniform","SAS",28000,77.363208779723,"EQ_uniform","VNP"
"28000.46",28000,58.9612421465129,"EQ_MAF","EAS",28000,67.4563645690385,"EQ_MAF","EUR",28000,59.1956364294767,"EQ_MAF","SAS",28000,67.2905670237784,"EQ_MAF","VNP"
"28000.70",28000,79.9987167907925,"TagIt","EAS",28000,82.5276324846657,"TagIt","EUR",28000,78.1265945714615,"TagIt","SAS",28000,85.0969427750196,"TagIt","VNP"
"28000.78",28000,69.3088437791498,"FastTagger","EAS",28000,69.8302810818869,"FastTagger","EUR",28000,65.2766118545586,"FastTagger","SAS",28000,66.8633394303632,"FastTagger","VNP"
"24000.61",24000,79.5350340790753,"LmTag_K200","EAS",24000,81.2872945375149,"LmTag_K200","EUR",24000,77.0227396177967,"LmTag_K200","SAS",24000,83.9683825450745,"LmTag_K200","VNP"
"24000.53",24000,68.502396146424,"EQ_uniform","EAS",24000,71.9137331585432,"EQ_uniform","EUR",24000,65.8389297647853,"EQ_uniform","SAS",24000,74.5503004964724,"EQ_uniform","VNP"
"24000.45",24000,53.3282004965032,"EQ_MAF","EAS",24000,63.3692559287628,"EQ_MAF","EUR",24000,54.6773410366566,"EQ_MAF","SAS",24000,62.3138228377319,"EQ_MAF","VNP"
"24000.69",24000,77.5887511906701,"TagIt","EAS",24000,80.1388091177335,"TagIt","EUR",24000,75.5623179102267,"TagIt","SAS",24000,82.6796446302587,"TagIt","VNP"
"24000.77",24000,67.5054413005819,"FastTagger","EAS",24000,65.1517210839913,"FastTagger","EUR",24000,61.2323671259032,"FastTagger","SAS",24000,64.0376273843742,"FastTagger","VNP"
"20000.60",20000,76.5404679765271,"LmTag_K200","EAS",20000,78.4293437038271,"LmTag_K200","EUR",20000,73.9130166411535,"LmTag_K200","SAS",20000,81.3096420172459,"LmTag_K200","VNP"
