"","SAS","EAS","EUR","VNP"
"Baseline",1,1,1,1
"EQ_uniform",0.82101120504876,0.82509282670146,0.846684436658216,0.860336426463248
"EQ_MAF",0.787301834085573,0.781000647922037,0.821888314666831,0.827779034067003
"TagIt",0.857113352654045,0.862878412414058,0.877058964403972,0.892274065259888
"FastTagger",0.796744250041857,0.823305026236755,0.818613576999373,0.808989771442423
"LmTag_K1",0.865534886160181,0.872189926145321,0.885905064599716,0.898349219615519
"LmTag_K10",0.865457089880243,0.872155683681514,0.885737771650773,0.898030917651506
"LmTag_K20",0.864890689249214,0.872159261980867,0.885773234232959,0.8979931753227
"LmTag_K30",0.864810809511089,0.872188805334012,0.885625613284636,0.897908986195871
"LmTag_K50",0.865013894803257,0.872306513844003,0.885291839976919,0.898271480813333
"LmTag_K100",0.864914665511414,0.871899782540524,0.885112098990452,0.897822312509841
"LmTag_K200",0.865048558123865,0.871861060404537,0.884951697975527,0.898047602268275
"LmTag_K500",0.864620777460533,0.871753268854954,0.884696723955148,0.897666409995998
"LmTag_K1000",0.864246069093933,0.871768543786027,0.884445016938634,0.897352361440242
"LmTag_K1500",0.864425769998982,0.871534061079062,0.884350975426413,0.897205601418885
"LmTag_K2000",0.86452124339855,0.871433603498944,0.884219887332954,0.897094022079809
