"","SAS","EAS","EUR","VNP"
"Baseline",2.96058431476635,2.95357741946628,2.96157898221262,2.9126706532532
"EQ_uniform",2.95447965625,2.959935125,2.955347,2.89323821875
"EQ_MAF",2.990326375,3.03397690625,3.00242390625,2.95648040625
"TagIt",2.98547015625,2.95579496875,2.9223319375,2.9339005625
"FastTagger",2.9577356875,3.03819703125,2.94137015625,3.0367993125
"LmTag_K1",2.92160934375,2.96173165625,2.92518975,2.92109690625
"LmTag_K10",3.46234865625,3.63220725,3.57821815625,3.56554703125
"LmTag_K20",3.69297065625,3.84453525,3.75869421875,3.79074559375
"LmTag_K30",3.85723171875,3.983136125,3.93497565625,3.92967375
"LmTag_K50",4.10948653125,4.204358375,4.15651034375,4.123119875
"LmTag_K100",4.480912875,4.536355375,4.5061388125,4.452177875
"LmTag_K200",4.86247584375,4.81905,4.873976625,4.774028
"LmTag_K500",5.3025706875,5.15763521875,5.26556259375,5.1166220625
"LmTag_K1000",5.63437796875,5.425790125,5.5450604375,5.3705965625
"LmTag_K1500",5.83452575,5.58308259375,5.72618525,5.55729775
"LmTag_K2000",5.98455278125,5.709996,5.85619828125,5.67752571875
