"","SAS","EAS","EUR","VNP"
"Baseline",486024,405234,456166,382700
"EQ_uniform",32000,32000,32000,32000
"EQ_MAF",32000,32000,32000,32000
"TagIt",32000,32000,32000,32000
"FastTagger",32000,32000,32000,32000
"LmTag_K1",32000,32000,32000,32000
"LmTag_K10",32000,32000,32000,32000
"LmTag_K20",32000,32000,32000,32000
"LmTag_K30",32000,32000,32000,32000
"LmTag_K50",32000,32000,32000,32000
"LmTag_K100",32000,32000,32000,32000
"LmTag_K200",32000,32000,32000,32000
"LmTag_K500",32000,32000,32000,32000
"LmTag_K1000",32000,32000,32000,32000
"LmTag_K1500",32000,32000,32000,32000
"LmTag_K2000",32000,32000,32000,32000
