"","SAS","EAS","EUR","VNP"
"Baseline",486024,405234,456166,382700
"EQ_uniform",486024,405234,456166,382700
"EQ_MAF",486024,405234,456166,382700
"TagIt",486024,405234,456166,382700
"FastTagger",486024,405234,456166,382700
"LmTag_K1",486024,405234,456166,382700
"LmTag_K10",486024,405234,456166,382700
"LmTag_K20",486024,405234,456166,382700
"LmTag_K30",486024,405234,456166,382700
"LmTag_K50",486024,405234,456166,382700
"LmTag_K100",486024,405234,456166,382700
"LmTag_K200",486024,405234,456166,382700
"LmTag_K500",486024,405234,456166,382700
"LmTag_K1000",486024,405234,456166,382700
"LmTag_K1500",486024,405234,456166,382700
"LmTag_K2000",486024,405234,456166,382700
