model	model_R_square	imputation_r2
model_linear.Rdata	44.14	0.871861060404537
model0.1.Rdata	42.28	0.871266406403446
model0.2.Rdata	1.08	0.861243889494001
model0.3.Rdata	1.65	0.868889400076364
model0.4.Rdata	5.46	0.870969749882647
model1.1.Rdata	44.85	0.8708119440984
model1.2.Rdata	44.85	0.872361803993307
model1.3.Rdata	45.86	0.872051390915812
model2.2.Rdata	45.86	0.871993460110209
model2.3.Rdata	45.01	0.871859017057692
model2.4.Rdata	45.09	0.871889172153507
model3.2.Rdata	44.15	0.872043861978635
model3.3.Rdata	44.51	0.872106304781944
model3.4.Rdata	44.79	0.871834807379146
model4.2.Rdata	44.16	0.87177593701616
model4.3.Rdata	44.58	0.872075865634284
model4.4.Rdata	44.89	0.871731551860083
model5.2.Rdata	44.3	0.87177790373764
model5.3.Rdata	45.42	0.872197717500798
model5.4.Rdata	45.48	0.871807229033876
